"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",14.3996862002975,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",14.6626087944778,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",14.924020600441,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",15.1802948107733,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",15.4087617765486,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",15.662746138446,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",15.927503804836,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",16.3317066685214,,
"AUS","Australia","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",16.8188208768139,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",20.1325345697756,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",20.0918038214085,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",20.2975528622524,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",20.5020263743285,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",20.6806732271187,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",20.7415253418804,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",20.7556199126949,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",20.8228866912912,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",20.9471963560567,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",21.1037911503907,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",21.2970758878051,,
"AUT","Austria","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",21.5072059011922,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",15.08085052875,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",15.1614508556983,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",15.4775685490278,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",15.7673207459456,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",16.0130251044522,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",16.1197859768895,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",16.1557975434698,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",16.3011299877889,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",16.4986330010389,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",16.7075882967267,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",16.9386206393626,,
"AUT","Austria","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",17.148001174112,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",17.6724052869316,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",17.6895629200525,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",17.9468927743113,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",18.1904820324564,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",18.3989760218129,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",18.4765454482457,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",18.4950443980107,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",18.5994362980273,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",18.7592098267118,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",18.9411101174783,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",19.1522113482964,,
"AUT","Austria","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",19.3603879564588,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",19.462847398135,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",19.5602389893723,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",19.7437691864885,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",19.9246910339146,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",20.1161249663229,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",20.2848721096236,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",20.4442382529169,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",20.6249466712821,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",20.8093738310946,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",21.001533204535,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",21.1746975105609,,
"BEL","Belgium","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",21.3608286762731,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",14.7989910187337,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",14.9842888223173,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",15.2619680579261,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",15.5271109157831,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",15.8039936965602,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",16.0624141508395,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",16.2958876913482,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",16.5425956173404,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",16.7987691575335,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",17.062732110083,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",17.2979209280541,,
"BEL","Belgium","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",17.5225665385515,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",17.1765349855735,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",17.3158787073472,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",17.5446712375453,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",17.7660686489649,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",17.998702657602,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",18.2104349754246,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",18.404855669361,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",18.6167144282431,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",18.8353031549299,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",19.0619840843104,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",19.2648904513086,,
"BEL","Belgium","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",19.4693582362089,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",15.6116902505358,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",15.8871675286295,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",16.2707644432044,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",16.6437626871353,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",16.9954498660319,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",17.3486405611706,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",17.6941933297279,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",18.0768880606971,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",18.4391654340043,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",18.8519600253826,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",19.2982187522617,,
"CAN","Canada","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",19.8416531710014,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",12.6159148276902,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",12.9466712212058,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",13.4042033945578,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",13.8500382014652,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",14.2629178514452,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",14.6854131088584,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",15.0803203930054,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",15.4786055371724,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",15.8371184536759,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",16.2369301052175,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",16.6792912866208,,
"CAN","Canada","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",17.1750255368419,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",14.1274244418207,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",14.4302037593747,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",14.8496400120965,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",15.258073764256,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",15.6397493215861,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",16.0273695352771,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",16.3972642424967,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",16.7874466592581,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",17.1470055214228,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",17.5526438895749,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",17.9968590751308,,
"CAN","Canada","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",18.5163729600931,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",18.0686702890806,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",18.5885412309871,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",19.1992405914845,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",19.7904620252147,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",20.3145769588193,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",20.798608909691,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",21.2941005220882,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",21.7801128252561,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",22.1932607457631,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",22.5692568628683,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",22.8810199788242,,
"CZE","Czech Republic","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",23.4770581130392,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",12.5754972792883,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",13.1167246166269,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",13.7092022283654,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",14.2910060936331,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",14.7975506979296,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",15.2581674755735,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",15.7217044751678,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",16.1649520170137,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",16.5474240556075,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",16.8782186489892,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",17.1354869780211,,
"CZE","Czech Republic","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",17.5737288836627,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",15.3731865382642,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",15.9023259943723,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",16.5031858491623,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",17.0897823450518,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",17.6049425437085,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",18.076330117343,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",18.5551756109916,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",19.0187643903986,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",19.4143564677883,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",19.7652353607408,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",20.0490179815152,,
"CZE","Czech Republic","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",20.5683825595071,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",18.2595790436087,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",18.7338512339688,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",19.2350731228672,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",19.6124867884377,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",19.9813791277206,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",20.2512559470806,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",20.4817367107654,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",20.687227817822,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",20.9331655856938,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",21.1948276068694,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",21.4993710038764,,
"DNK","Denmark","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",21.7682161829701,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",14.8718881734672,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",15.4763164187324,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",16.045818285744,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",16.5052085036589,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",16.9022766925188,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",17.2023021858011,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",17.4477094693525,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",17.6922390050479,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",17.9759302059258,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",18.2446450464347,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",18.56497113529,,
"DNK","Denmark","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",18.8191114905664,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",16.5802310645423,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",17.1187111719793,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",17.6531948234187,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",18.0708866663434,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",18.4527278752718,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",18.7357132743537,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",18.9722481926667,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",19.196697481241,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",19.4613707839281,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",19.7264716368379,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",20.0397333235828,,
"DNK","Denmark","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",20.3009680541945,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",19.8497293165481,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",20.3678432141765,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",20.9554489540519,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",21.5392058805024,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",22.091326033717,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",22.5989740022107,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",23.0554025402454,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",23.5083699733785,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",23.9718313589065,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",24.423194543302,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",24.8579600272717,,
"FIN","Finland","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",25.2438928223915,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",14.5729607479775,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",15.184089952912,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",15.8567004665405,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",16.5218064579837,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",17.1565572519368,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",17.7384676542529,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",18.2371379860025,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",18.7123374330336,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",19.191044284679,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",19.6357366253634,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",20.0638804966758,,
"FIN","Finland","M","Men","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",20.4498372623707,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",17.260472530089,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",17.8227825172894,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2012","2012",18.4507219936878,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2013","2013",19.0729319403013,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2014","2014",19.6642794745113,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2015","2015",20.2069411817952,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2016","2016",20.6819940760254,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2017","2017",21.143769236062,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2018","2018",21.613119331342,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2019","2019",22.059835862942,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2020","2020",22.4901687209345,,
"FIN","Finland","T","Total","65_OVER_SHARE","Share of 65 and over - elderly","2021","2021",22.8745970958416,,
"FRA","France","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2010","2010",18.9276455144229,,
"FRA","France","W","Women","65_OVER_SHARE","Share of 65 and over - elderly","2011","2011",19.1595036768747,,
